mmsi,fishing_type,shipname_kr,shipname,has_existing
440000160,근해안강망어업,,902NAM HAE HOAA,False
440000700,근해안강망어업,,505MANSUNHO         ,False
440002600,근해안강망어업,용덕1호,DAE HAE 3HO,False
440003670,근해안강망어업,,2.CHEONG.JIN.HO,False
440004930,근해안강망어업,,2020SIN JIN HO      ,False
440005450,근해안강망어업,,JISEONGHO,False
440008020,근해안강망어업,,107 HYE WON HO      ,False
440009420,근해안강망어업,트레토네2호,2358 HAN IL HO,False
440009640,근해안강망어업,,5238 HAN IL HO,False
440009730,근해안강망어업,SIN KWANG,DONG YANG,False
440013290,근해안강망어업,,207 DUK JIN HO,False
440018090,근해안강망어업,,HWANG KEUM          ,False
440032180,근해안강망어업,,2017 YOUNG BU HO,False
440033420,근해안강망어업,,922 HEUNG DEOK HO   ,False
440042040,근해안강망어업,,37GEUM YEONG,False
440045160,근해안강망어업,,203NAMHAEHO,False
440051580,근해안강망어업,성용607,111SIN GEON         ,False
440052420,근해안강망어업,,3BUYENGHO           ,False
440065450,근해안강망어업,,YEONG JIN HO,False
440082390,근해안강망어업,,2020 GIL SUNG HO,False
440082610,근해안강망어업,, GO RYEONG HO,False
440083460,근해안강망어업,,HYUN JIN  ,False
440083950,근해안강망어업,GEUMSIN CG-170,2019 DUK SUNG HO,False
440085690,근해안강망어업,삼원301호,2020 MYEONG SEON ,False
440086250,근해안강망어업,,2019GANGJIN HO      ,False
440094070,근해안강망어업,,505 HYUP SIN HO,False
440094690,근해안강망어업,,9009 KYUNG JIN HO,False
440098630,근해안강망어업,,203 NAM KWANG HO,False
440100830,근해안강망어업,,2017YOUNG IL HO     ,False
440113160,근해안강망어업,,^!^HAESUNG,False
440114040,근해안강망어업,,17MANDEKHO          ,False
440116350,근해안강망어업,,38SUGELHO,False
440122080,근해안강망어업,,JE IL HO            ,False
440122250,근해안강망어업,,207HAESUNHO,False
440126400,근해안강망어업,,219 SIN HEUNG HO,False
440146860,근해안강망어업,삼원301호,2020 SAM YUK HO,False
